"FileId","RepoRelativePath","FileName","Extension","HasKidsSignal","HasRouteSignal","HasProgressSignal","HasGameSignal","Sha256","Status"
"KID-SRC-070","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/App.backup.js","App.backup.js",".js","YES","NO","NO","NO","56099084404ADCA4A8B3B2BF5F141462DEB01BBAC9F293B4A54124F2DBC5C593","DISCOVERED"
"KID-SRC-071","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/App.js","App.js",".js","YES","NO","YES","YES","502F225BF925CEE19536803F3168E06F9EC09D39C4BBCFA07D32B21E56EB5B8D","DISCOVERED"
"KID-SRC-072","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/dailyChallengeApi.js","dailyChallengeApi.js",".js","NO","NO","NO","YES","C6C697A996AA47E1818817E76ABDD923FF8EF5F85CBDA0D71D3EEA30737861EF","DISCOVERED"
"KID-SRC-073","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/DailyChallengeDetailPage.js","DailyChallengeDetailPage.js",".js","YES","NO","YES","YES","8701B3DE863A51C99E58FA2FC38642A015855FF87982BE4BAEB55092271FD54C","DISCOVERED"
"KID-SRC-074","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/DailyChallengeHomeCard.js","DailyChallengeHomeCard.js",".js","YES","NO","YES","YES","62C0DEF2DE3016A45AA5BA2A55A2DB16962EF8C0C634287BD4BFBC5E6B1F9AF2","DISCOVERED"
"KID-SRC-075","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/ErrorBanner.js","ErrorBanner.js",".js","YES","NO","NO","NO","6B1D1CDE1C414701BA530EDFCA6721EE471C40EB7E2BE9B0CA8052D7005F56F2","DISCOVERED"
"KID-SRC-076","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/ErrorBoundary.js","ErrorBoundary.js",".js","YES","NO","NO","NO","160B5A3CA454A31E51F9089EDD2236A2B0E930F0BDEF9DD4D05032F1614C9D44","DISCOVERED"
"KID-SRC-077","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/GamePanel.js","GamePanel.js",".js","YES","NO","NO","YES","800184DAC5136EE0F7E145D11059FFFEA2A2CE6B18D3124EC6785A712EABE875","DISCOVERED"
"KID-SRC-078","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/HealthPanel.js","HealthPanel.js",".js","YES","NO","NO","NO","800463DD52FF0338352CFD2DBE619AFE4343B8C699F2FD3AC87208332FF3D18B","DISCOVERED"
"KID-SRC-079","__BASELINE_FRONTEND_PHASE5_20260104_113049/_legacy_js_backup_20251208/main.js","main.js",".js","YES","NO","NO","NO","8CEA00D52121807F9C9F261B3857D8BFA12AB4DF371ED0E916C3BD64056113FF","DISCOVERED"
